Term,Course,CourseTitle,ClassSection,DistinctStudentCount,ClassEnrollmentStatus
Spring2021,MATH-UA120,DiscreteMathematics,1,13,Dropped
Spring2021,MATH-UA120,DiscreteMathematics,1,40,Enrolled
Spring2021,MATH-UA120,DiscreteMathematics,2,10,Dropped
Spring2021,MATH-UA120,DiscreteMathematics,2,34,Enrolled
Spring2021,MATH-UA120,DiscreteMathematics,3,12,Dropped
Spring2021,MATH-UA120,DiscreteMathematics,3,49,Enrolled
Spring2021,MATH-UA120,DiscreteMathematics,4,17,Dropped
Spring2021,MATH-UA120,DiscreteMathematics,4,40,Enrolled
Spring2021,MATH-UA120,DiscreteMathematics,5,12,Dropped
Spring2021,MATH-UA120,DiscreteMathematics,5,26,Enrolled
Spring2021,MATH-UA120,DiscreteMathematics,6,12,Dropped
Spring2021,MATH-UA120,DiscreteMathematics,6,44,Enrolled
Spring2021,MATH-UA120,DiscreteMathematics,7,5,Dropped
Spring2021,MATH-UA120,DiscreteMathematics,7,40,Enrolled
Spring2021,MATH-UA120,DiscreteMathematics,8,9,Dropped
Spring2021,MATH-UA120,DiscreteMathematics,8,45,Enrolled
Spring2021,MATH-UA120,DiscreteMathematics,9,17,Dropped
Spring2021,MATH-UA120,DiscreteMathematics,9,29,Enrolled
Spring2021,MATH-UA121,CalculusI,1,17,Dropped
Spring2021,MATH-UA121,CalculusI,1,101,Enrolled
Spring2021,MATH-UA121,CalculusI,6,31,Dropped
Spring2021,MATH-UA121,CalculusI,6,118,Enrolled
Spring2021,MATH-UA121,CalculusI,11,19,Dropped
Spring2021,MATH-UA121,CalculusI,11,129,Enrolled
Spring2021,MATH-UA121,CalculusI,16,14,Dropped
Spring2021,MATH-UA121,CalculusI,16,110,Enrolled
Spring2021,MATH-UA122,CalculusII,1,9,Dropped
Spring2021,MATH-UA122,CalculusII,1,40,Enrolled
Spring2021,MATH-UA122,CalculusII,2,16,Dropped
Spring2021,MATH-UA122,CalculusII,2,40,Enrolled
Spring2021,MATH-UA122,CalculusII,4,11,Dropped
Spring2021,MATH-UA122,CalculusII,4,37,Enrolled
Spring2021,MATH-UA122,CalculusII,5,8,Dropped
Spring2021,MATH-UA122,CalculusII,5,37,Enrolled
Spring2021,MATH-UA122,CalculusII,6,5,Dropped
Spring2021,MATH-UA122,CalculusII,6,26,Enrolled
Spring2021,MATH-UA122,CalculusII,7,8,Dropped
Spring2021,MATH-UA122,CalculusII,7,40,Enrolled
Spring2021,MATH-UA122,CalculusII,8,17,Dropped
Spring2021,MATH-UA122,CalculusII,8,17,Enrolled
Spring2021,MATH-UA122,CalculusII,9,5,Dropped
Spring2021,MATH-UA122,CalculusII,9,30,Enrolled
Spring2021,MATH-UA122,CalculusII,SH10,5,Dropped
Spring2021,MATH-UA122,CalculusII,SH10,26,Enrolled
Spring2021,MATH-UA123,CalculusIII,1,14,Dropped
