Term,Course,CourseTitle,ClassSection,DistinctStudentCount,ClassEnrollmentStatus
Fall2019,MATH-UA120,DiscreteMathematics,1,9,Dropped
Fall2019,MATH-UA120,DiscreteMathematics,1,40,Enrolled
Fall2019,MATH-UA120,DiscreteMathematics,2,10,Dropped
Fall2019,MATH-UA120,DiscreteMathematics,2,46,Enrolled
Fall2019,MATH-UA120,DiscreteMathematics,3,18,Dropped
Fall2019,MATH-UA120,DiscreteMathematics,3,36,Enrolled
Fall2019,MATH-UA120,DiscreteMathematics,4,17,Dropped
Fall2019,MATH-UA120,DiscreteMathematics,4,44,Enrolled
Fall2019,MATH-UA120,DiscreteMathematics,5,15,Dropped
Fall2019,MATH-UA120,DiscreteMathematics,5,45,Enrolled
Fall2019,MATH-UA120,DiscreteMathematics,6,7,Dropped
Fall2019,MATH-UA120,DiscreteMathematics,6,30,Enrolled
Fall2019,MATH-UA120,DiscreteMathematics,7,12,Dropped
Fall2019,MATH-UA120,DiscreteMathematics,7,43,Enrolled
Fall2019,MATH-UA120,DiscreteMathematics,8,13,Dropped
Fall2019,MATH-UA120,DiscreteMathematics,8,37,Enrolled
Fall2019,MATH-UA121,CalculusI,1,22,Dropped
Fall2019,MATH-UA121,CalculusI,1,119,Enrolled
Fall2019,MATH-UA121,CalculusI,6,13,Dropped
Fall2019,MATH-UA121,CalculusI,6,100,Enrolled
Fall2019,MATH-UA121,CalculusI,11,33,Dropped
Fall2019,MATH-UA121,CalculusI,11,79,Enrolled
Fall2019,MATH-UA121,CalculusI,16,20,Dropped
Fall2019,MATH-UA121,CalculusI,16,88,Enrolled
Fall2019,MATH-UA121,CalculusI,21,16,Dropped
Fall2019,MATH-UA121,CalculusI,21,131,Enrolled
Fall2019,MATH-UA121,CalculusI,26,9,Dropped
Fall2019,MATH-UA121,CalculusI,26,44,Enrolled
Fall2019,MATH-UA121,CalculusI,31,15,Dropped
Fall2019,MATH-UA121,CalculusI,31,62,Enrolled
Fall2019,MATH-UA121,CalculusI,36,20,Dropped
Fall2019,MATH-UA121,CalculusI,36,88,Enrolled
Fall2019,MATH-UA121,CalculusI,41,16,Dropped
Fall2019,MATH-UA121,CalculusI,41,108,Enrolled
Fall2019,MATH-UA121,CalculusI,46,11,Dropped
Fall2019,MATH-UA121,CalculusI,46,55,Enrolled
Fall2019,MATH-UA122,CalculusII,1,16,Dropped
Fall2019,MATH-UA122,CalculusII,1,41,Enrolled
Fall2019,MATH-UA122,CalculusII,2,23,Dropped
Fall2019,MATH-UA122,CalculusII,2,39,Enrolled
Fall2019,MATH-UA122,CalculusII,3,14,Dropped
Fall2019,MATH-UA122,CalculusII,3,40,Enrolled
Fall2019,MATH-UA122,CalculusII,4,24,Dropped
Fall2019,MATH-UA122,CalculusII,4,32,Enrolled
Fall2019,MATH-UA122,CalculusII,5,18,Dropped
Fall2019,MATH-UA122,CalculusII,5,40,Enrolled
Fall2019,MATH-UA122,CalculusII,7,12,Dropped
Fall2019,MATH-UA122,CalculusII,7,30,Enrolled
Fall2019,MATH-UA122,CalculusII,8,13,Dropped
Fall2019,MATH-UA122,CalculusII,8,28,Enrolled
Fall2019,MATH-UA122,CalculusII,9,33,Dropped
Fall2019,MATH-UA122,CalculusII,9,38,Enrolled
Fall2019,MATH-UA123,CalculusIII,1,10,Dropped
Fall2019,MATH-UA123,CalculusIII,1,43,Enrolled
Fall2019,MATH-UA123,CalculusIII,2,13,Dropped
Fall2019,MATH-UA123,CalculusIII,2,32,Enrolled
Fall2019,MATH-UA123,CalculusIII,3,8,Dropped
Fall2019,MATH-UA123,CalculusIII,3,56,Enrolled
Fall2019,MATH-UA123,CalculusIII,4,11,Dropped
Fall2019,MATH-UA123,CalculusIII,4,37,Enrolled
Fall2019,MATH-UA123,CalculusIII,5,16,Dropped
Fall2019,MATH-UA123,CalculusIII,5,31,Enrolled
Fall2019,MATH-UA123,CalculusIII,6,12,Dropped
Fall2019,MATH-UA123,CalculusIII,6,36,Enrolled
Fall2019,MATH-UA123,CalculusIII,7,10,Dropped
Fall2019,MATH-UA123,CalculusIII,7,37,Enrolled
Fall2019,MATH-UA123,CalculusIII,8,1,Dropped
Fall2019,MATH-UA129,HonorsCalculusIII,1,3,Dropped
Fall2019,MATH-UA129,HonorsCalculusIII,1,31,Enrolled
Fall2019,MATH-UA140,LinearAlgebra,1,8,Dropped
Fall2019,MATH-UA140,LinearAlgebra,1,33,Enrolled
Fall2019,MATH-UA140,LinearAlgebra,2,14,Dropped
Fall2019,MATH-UA140,LinearAlgebra,2,35,Enrolled
Fall2019,MATH-UA140,LinearAlgebra,3,11,Dropped
Fall2019,MATH-UA140,LinearAlgebra,3,47,Enrolled
Fall2019,MATH-UA140,LinearAlgebra,4,22,Dropped
Fall2019,MATH-UA140,LinearAlgebra,4,41,Enrolled
Fall2019,MATH-UA140,LinearAlgebra,5,16,Dropped
Fall2019,MATH-UA140,LinearAlgebra,5,38,Enrolled
Fall2019,MATH-UA140,LinearAlgebra,6,15,Dropped
Fall2019,MATH-UA140,LinearAlgebra,6,37,Enrolled
Fall2019,MATH-UA140,LinearAlgebra,7,17,Dropped
Fall2019,MATH-UA140,LinearAlgebra,7,15,Enrolled
Fall2019,MATH-UA140,LinearAlgebra,8,16,Dropped
Fall2019,MATH-UA140,LinearAlgebra,8,37,Enrolled
Fall2019,MATH-UA140,LinearAlgebra,9,19,Dropped
Fall2019,MATH-UA140,LinearAlgebra,9,45,Enrolled
Fall2019,MATH-UA140,LinearAlgebra,10,21,Dropped
Fall2019,MATH-UA140,LinearAlgebra,10,49,Enrolled
Fall2019,MATH-UA140,LinearAlgebra,11,22,Dropped
Fall2019,MATH-UA140,LinearAlgebra,11,38,Enrolled
Fall2019,MATH-UA148,HonorsLinearAlgebra,1,12,Dropped
Fall2019,MATH-UA148,HonorsLinearAlgebra,1,26,Enrolled
Fall2019,MATH-UA211,MathematicsforEconomicsI,1,21,Dropped
Fall2019,MATH-UA211,MathematicsforEconomicsI,1,163,Enrolled
Fall2019,MATH-UA211,MathematicsforEconomicsI,6,25,Dropped
Fall2019,MATH-UA211,MathematicsforEconomicsI,6,163,Enrolled
Fall2019,MATH-UA211,MathematicsforEconomicsI,11,30,Dropped
Fall2019,MATH-UA211,MathematicsforEconomicsI,11,146,Enrolled
Fall2019,MATH-UA211,MathematicsforEconomicsI,16,21,Dropped
Fall2019,MATH-UA211,MathematicsforEconomicsI,16,140,Enrolled
Fall2019,MATH-UA212,MathematicsforEconomicsII,1,10,Dropped
Fall2019,MATH-UA212,MathematicsforEconomicsII,1,150,Enrolled
Fall2019,MATH-UA212,MathematicsforEconomicsII,6,10,Dropped
Fall2019,MATH-UA212,MathematicsforEconomicsII,6,80,Enrolled
Fall2019,MATH-UA213,MathematicsforEconomicsIII,1,16,Dropped
Fall2019,MATH-UA213,MathematicsforEconomicsIII,1,115,Enrolled
Fall2019,MATH-UA232,SetTheory,1,19,Dropped
Fall2019,MATH-UA232,SetTheory,1,17,Enrolled
Fall2019,MATH-UA233,TheoryofProbability,1,15,Dropped
Fall2019,MATH-UA233,TheoryofProbability,1,55,Enrolled
Fall2019,MATH-UA233,TheoryofProbability,3,11,Dropped
Fall2019,MATH-UA233,TheoryofProbability,3,53,Enrolled
Fall2019,MATH-UA233,TheoryofProbability,5,6,Dropped
Fall2019,MATH-UA233,TheoryofProbability,5,19,Enrolled
Fall2019,MATH-UA234,MathematicalStatistics,1,14,Dropped
Fall2019,MATH-UA234,MathematicalStatistics,1,58,Enrolled
Fall2019,MATH-UA248,TheoryofNumbers,1,12,Dropped
Fall2019,MATH-UA248,TheoryofNumbers,1,34,Enrolled
Fall2019,MATH-UA250,MathematicsofFinance,1,21,Dropped
Fall2019,MATH-UA250,MathematicsofFinance,1,43,Enrolled
Fall2019,MATH-UA250,MathematicsofFinance,3,21,Dropped
Fall2019,MATH-UA250,MathematicsofFinance,3,34,Enrolled
Fall2019,MATH-UA251,IntrotoMathModeling,1,14,Dropped
Fall2019,MATH-UA251,IntrotoMathModeling,1,36,Enrolled
Fall2019,MATH-UA251,IntrotoMathModeling,3,9,Dropped
Fall2019,MATH-UA251,IntrotoMathModeling,3,35,Enrolled
Fall2019,MATH-UA251,IntrotoMathModeling,5,15,Dropped
Fall2019,MATH-UA251,IntrotoMathModeling,5,16,Enrolled
Fall2019,MATH-UA252,NumericalAnalysis,1,18,Dropped
Fall2019,MATH-UA252,NumericalAnalysis,1,36,Enrolled
Fall2019,MATH-UA252,NumericalAnalysis,3,17,Dropped
Fall2019,MATH-UA252,NumericalAnalysis,3,34,Enrolled
Fall2019,MATH-UA255,MathematicsandBiology,1,1,Dropped
Fall2019,MATH-UA255,MathematicsandBiology,1,6,Enrolled
Fall2019,MATH-UA262,OrdinaryDiffEquations,1,17,Dropped
Fall2019,MATH-UA262,OrdinaryDiffEquations,1,62,Enrolled
Fall2019,MATH-UA262,OrdinaryDiffEquations,3,17,Dropped
Fall2019,MATH-UA262,OrdinaryDiffEquations,3,37,Enrolled
Fall2019,MATH-UA262,OrdinaryDiffEquations,5,13,Dropped
Fall2019,MATH-UA262,OrdinaryDiffEquations,5,17,Enrolled
Fall2019,MATH-UA263,PartialDiffEquations,1,8,Dropped
Fall2019,MATH-UA263,PartialDiffEquations,1,40,Enrolled
Fall2019,MATH-UA325,Analysis,1,3,Dropped
Fall2019,MATH-UA325,Analysis,1,56,Enrolled
Fall2019,MATH-UA325,Analysis,3,18,Dropped
Fall2019,MATH-UA325,Analysis,3,37,Enrolled
Fall2019,MATH-UA325,Analysis,5,8,Dropped
Fall2019,MATH-UA325,Analysis,5,39,Enrolled
Fall2019,MATH-UA328,HonorsAnalysisI,1,8,Dropped
Fall2019,MATH-UA328,HonorsAnalysisI,1,40,Enrolled
Fall2019,MATH-UA343,Algebra,1,11,Dropped
Fall2019,MATH-UA343,Algebra,1,39,Enrolled
Fall2019,MATH-UA343,Algebra,3,5,Dropped
Fall2019,MATH-UA343,Algebra,3,38,Enrolled
Fall2019,MATH-UA343,Algebra,5,6,Dropped
Fall2019,MATH-UA343,Algebra,5,24,Enrolled
Fall2019,MATH-UA348,HonorsAlgebraI,1,9,Dropped
Fall2019,MATH-UA348,HonorsAlgebraI,1,36,Enrolled
Fall2019,MATH-UA395,SpecialTopics,1,5,Dropped
Fall2019,MATH-UA395,SpecialTopics,1,16,Enrolled
Fall2019,MATH-UA397,HonorsIII,1,11,Dropped
Fall2019,MATH-UA397,HonorsIII,1,20,Enrolled
Fall2019,MATH-UA9,AlgebraandCalculus,1,28,Dropped
Fall2019,MATH-UA9,AlgebraandCalculus,1,133,Enrolled
Fall2019,MATH-UA9,AlgebraandCalculus,6,23,Dropped
Fall2019,MATH-UA9,AlgebraandCalculus,6,118,Enrolled
Fall2019,MATH-UA9,AlgebraandCalculus,11,21,Dropped
Fall2019,MATH-UA9,AlgebraandCalculus,11,116,Enrolled
Fall2019,MATH-UA9140,LinearAlgebra,C01,1,Dropped
Fall2019,MATH-UA9140,LinearAlgebra,C01,4,Enrolled
Fall2019,MATH-UA9140,LinearAlgebra,L01,3,Dropped
Fall2019,MATH-UA9140,LinearAlgebra,L01,15,Enrolled
Fall2019,MATH-UA9211,MathematicsforEconomicsI,L01,20,Enrolled
Fall2019,MATH-UA9233,TheoryofProbability,L01,5,Enrolled
Fall2019,MATH-UA9282,FunctionsofaComplexVariable,C01,2,Enrolled
Fall2019,MATH-UA9325,Analysis,C01,1,Enrolled
