Course,CourseTitle,Section,DistinctStudentCount,ClassEnrollmentStatus,EnrollmentCap,WaitlistCap
MATH-UA120,DiscreteMathematics,1,23,Dropped,41,14
MATH-UA120,DiscreteMathematics,2,22,Dropped,41,13
MATH-UA120,DiscreteMathematics,3,13,Dropped,41,13
MATH-UA120,DiscreteMathematics,4,20,Dropped,41,14
MATH-UA120,DiscreteMathematics,5,16,Dropped,41,13
MATH-UA120,DiscreteMathematics,6,17,Dropped,42,13
MATH-UA120,DiscreteMathematics,7,6,Dropped,41,13
MATH-UA121,CalculusI,1,27,Dropped,117,10
MATH-UA121,CalculusI,6,21,Dropped,117,10
MATH-UA121,CalculusI,11,37,Dropped,118,10
MATH-UA121,CalculusI,16,17,Dropped,117,10
MATH-UA121,CalculusI,21,13,Dropped,117,10
MATH-UA121,CalculusI,26,22,Dropped,117,10
MATH-UA121,CalculusI,31,35,Dropped,118,10
MATH-UA121,CalculusI,36,28,Dropped,118,10
MATH-UA121,CalculusI,41,19,Dropped,118,10
MATH-UA121,CalculusI,46,19,Dropped,117,10
MATH-UA122,CalculusII,1,20,Dropped,37,10
MATH-UA122,CalculusII,2,18,Dropped,37,10
MATH-UA122,CalculusII,3,28,Dropped,37,10
MATH-UA122,CalculusII,4,2,Dropped,37,10
MATH-UA122,CalculusII,5,11,Dropped,38,10
MATH-UA122,CalculusII,6,13,Dropped,37,10
MATH-UA122,CalculusII,7,18,Dropped,38,10
MATH-UA122,CalculusII,8,13,Dropped,37,10
MATH-UA122,CalculusII,9,16,Dropped,37,10
MATH-UA123,CalculusIII,1,14,Dropped,41,10
MATH-UA123,CalculusIII,2,17,Dropped,41,10
MATH-UA123,CalculusIII,3,10,Dropped,41,10
MATH-UA123,CalculusIII,4,12,Dropped,40,10
MATH-UA123,CalculusIII,5,5,Dropped,40,10
MATH-UA123,CalculusIII,6,18,Dropped,41,10
MATH-UA123,CalculusIII,7,8,Dropped,41,10
MATH-UA123,CalculusIII,8,9,Dropped,41,10
MATH-UA140,LinearAlgebra,1,22,Dropped,37,11
MATH-UA140,LinearAlgebra,2,20,Dropped,38,10
MATH-UA140,LinearAlgebra,3,11,Dropped,38,11
MATH-UA140,LinearAlgebra,4,15,Dropped,37,10
MATH-UA140,LinearAlgebra,5,22,Dropped,37,10
MATH-UA140,LinearAlgebra,6,15,Dropped,38,10
MATH-UA140,LinearAlgebra,7,17,Dropped,38,11
MATH-UA140,LinearAlgebra,8,14,Dropped,37,11
MATH-UA140,LinearAlgebra,9,11,Dropped,38,10
MATH-UA140,LinearAlgebra,10,9,Dropped,38,11
MATH-UA211,MathematicsforEconomicsI,1,30,Dropped,157,20
MATH-UA211,MathematicsforEconomicsI,6,34,Dropped,157,20
MATH-UA211,MathematicsforEconomicsI,11,16,Dropped,158,20
MATH-UA211,MathematicsforEconomicsI,16,20,Dropped,158,20
MATH-UA212,MathematicsforEconomicsII,1,25,Dropped,136,12
MATH-UA212,MathematicsforEconomicsII,6,21,Dropped,136,11
MATH-UA213,MathematicsforEconomicsIII,1,19,Dropped,125,24
MATH-UA233,TheoryofProbability,1,25,Dropped,44,16
MATH-UA233,TheoryofProbability,3,20,Dropped,44,17
MATH-UA233,TheoryofProbability,5,16,Dropped,43,16
MATH-UA248,TheoryofNumbers,1,27,Dropped,35,20
MATH-UA248,TheoryofNumbers,3,7,Dropped,35,20
MATH-UA250,MathematicsofFinance,1,17,Dropped,45,15
MATH-UA251,IntrotoMathModeling,1,19,Dropped,31,11
MATH-UA251,IntrotoMathModeling,3,9,Dropped,32,11
MATH-UA255,MathematicsandBiology,1,6,Dropped,20,10
MATH-UA262,OrdinaryDiffEquations,1,18,Dropped,42,13
MATH-UA262,OrdinaryDiffEquations,3,18,Dropped,42,13
MATH-UA263,PartialDiffEquations,1,10,Dropped,40,10
MATH-UA325,Analysis,1,21,Dropped,44,18
MATH-UA325,Analysis,3,11,Dropped,44,18
MATH-UA325,Analysis,5,11,Dropped,45,18
MATH-UA328,HonorsAnalysisI,1,8,Dropped,40,20
MATH-UA343,Algebra,1,20,Dropped,39,20
MATH-UA343,Algebra,3,17,Dropped,38,20
MATH-UA343,Algebra,5,6,Dropped,38,20
MATH-UA348,HonorsAlgebraI,1,8,Dropped,37,14
MATH-UA393,HonorsI,1,4,Dropped,0,0
MATH-UA9,AlgebraandCalculus,1,34,Dropped,135,20
MATH-UA9,AlgebraandCalculus,6,22,Dropped,135,21
MATH-UA9,AlgebraandCalculus,11,18,Dropped,136,20
